epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2984,1.27858,9.0956,1.51979,0.47728,0.31973,0.33231,0.15705,1.16029,7.26162,1.4785,0.0802822,0.00019917,0.00019917
2,155.905,1.15595,6.74655,1.39983,0.46954,0.38967,0.40833,0.19153,1.12708,8.50944,1.446,0.0604795,0.000396536,0.000396536
3,231.709,1.09679,6.07768,1.35559,0.6469,0.45823,0.51846,0.25283,1.08446,5.40571,1.37541,0.0406742,0.000591261,0.000591261
4,307.822,1.08169,5.5976,1.3482,0.61756,0.50525,0.5431,0.28118,1.05558,5.08322,1.37273,0.0208663,0.000783347,0.000783347
5,384.051,1.06904,5.25478,1.33463,0.7011,0.59086,0.67174,0.36155,1.00909,4.65046,1.33801,0.00105578,0.000972792,0.000972792
6,460.805,1.03727,4.87225,1.30322,0.67147,0.6086,0.6738,0.35908,1.00985,4.55556,1.29923,0.000967,0.000967,0.000967
7,536.674,1.02811,4.68724,1.29373,0.71841,0.68087,0.72439,0.39076,0.97819,4.14749,1.29066,0.0009604,0.0009604,0.0009604
8,612.58,1.01132,4.4909,1.29192,0.67437,0.74739,0.76206,0.42876,0.96687,3.91168,1.28587,0.0009538,0.0009538,0.0009538
9,688.384,1.00595,4.30555,1.2833,0.7212,0.71075,0.76115,0.42748,0.95668,3.81353,1.29413,0.0009472,0.0009472,0.0009472
10,765.141,0.98855,4.13865,1.27271,0.63678,0.77667,0.7783,0.44794,0.92377,3.49296,1.24961,0.0009406,0.0009406,0.0009406
11,841.099,0.96671,4.00268,1.25722,0.7737,0.73886,0.80145,0.46989,0.90738,3.54891,1.24465,0.000934,0.000934,0.000934
12,916.965,0.95421,3.80462,1.24251,0.80279,0.82871,0.85974,0.50564,0.89584,3.21596,1.22526,0.0009274,0.0009274,0.0009274
13,992.934,0.94575,3.73209,1.23036,0.83746,0.7844,0.84777,0.50408,0.87964,3.17437,1.20947,0.0009208,0.0009208,0.0009208
14,1068.9,0.93403,3.6105,1.21641,0.84875,0.80143,0.86031,0.52235,0.89071,3.10978,1.21004,0.0009142,0.0009142,0.0009142
15,1144.81,0.91571,3.43995,1.21167,0.80955,0.81404,0.86803,0.53019,0.86131,2.94328,1.19633,0.0009076,0.0009076,0.0009076
16,1220.91,0.91073,3.40527,1.20168,0.85121,0.85668,0.89927,0.5561,0.85172,2.88595,1.18516,0.000901,0.000901,0.000901
17,1297.05,0.88347,3.25428,1.17819,0.86183,0.86671,0.90714,0.56672,0.83294,2.87945,1.17001,0.0008944,0.0008944,0.0008944
18,1372.91,0.87867,3.25219,1.18325,0.86158,0.83878,0.90358,0.57514,0.81613,2.77045,1.15204,0.0008878,0.0008878,0.0008878
19,1448.9,0.86607,3.19181,1.1683,0.88702,0.84714,0.91041,0.59262,0.79424,2.66255,1.14194,0.0008812,0.0008812,0.0008812
20,1524.83,0.85232,3.07776,1.15704,0.89161,0.87785,0.93377,0.614,0.78901,2.61564,1.12635,0.0008746,0.0008746,0.0008746
21,1600.85,0.84347,3.05313,1.15518,0.90753,0.87582,0.93977,0.62413,0.76908,2.48444,1.11258,0.000868,0.000868,0.000868
22,1676.82,0.83732,2.97836,1.13955,0.89144,0.85817,0.91939,0.60632,0.76729,2.5124,1.11756,0.0008614,0.0008614,0.0008614
23,1752.82,0.82585,2.9448,1.13968,0.89931,0.87257,0.92845,0.61893,0.77932,2.48954,1.12562,0.0008548,0.0008548,0.0008548
24,1828.66,0.80155,2.867,1.12101,0.94314,0.90308,0.95204,0.64244,0.74837,2.38146,1.1004,0.0008482,0.0008482,0.0008482
25,1904.74,0.8092,2.85275,1.12427,0.92087,0.92837,0.96144,0.63766,0.75059,2.39515,1.11204,0.0008416,0.0008416,0.0008416
26,1980.76,0.80026,2.8096,1.11818,0.94342,0.92159,0.95651,0.64827,0.72621,2.33702,1.07442,0.000835,0.000835,0.000835
27,2056.89,0.79245,2.73738,1.10411,0.89365,0.93303,0.94998,0.66001,0.69697,2.21799,1.06848,0.0008284,0.0008284,0.0008284
28,2133.12,0.77132,2.68016,1.0967,0.92635,0.91394,0.9522,0.66632,0.68523,2.20494,1.05682,0.0008218,0.0008218,0.0008218
29,2209.98,0.7651,2.65642,1.09709,0.96321,0.91638,0.96499,0.67759,0.69715,2.20728,1.06429,0.0008152,0.0008152,0.0008152
30,2286.98,0.74846,2.62054,1.08687,0.94225,0.91317,0.95621,0.67112,0.69119,2.21592,1.0552,0.0008086,0.0008086,0.0008086
31,2363.46,0.74817,2.60887,1.08423,0.93658,0.93081,0.96691,0.68127,0.71333,2.21921,1.0681,0.000802,0.000802,0.000802
32,2439.62,0.7584,2.64252,1.09259,0.92776,0.88495,0.95379,0.68409,0.67338,2.15966,1.04667,0.0007954,0.0007954,0.0007954
33,2515.68,0.74398,2.54002,1.07898,0.95397,0.93858,0.97291,0.70211,0.66523,2.08766,1.04723,0.0007888,0.0007888,0.0007888
34,2591.88,0.73176,2.52155,1.07709,0.93654,0.91423,0.96626,0.68435,0.67017,2.1399,1.04903,0.0007822,0.0007822,0.0007822
35,2668.07,0.72671,2.4794,1.0653,0.93259,0.94843,0.97091,0.70923,0.64189,2.06088,1.02549,0.0007756,0.0007756,0.0007756
